Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,49.3,5,22.09,463.89,2019-01-25,19:48:00,Cash,441.8,4.761904762,22.09,9
848-62-7243,A,Yangon,Normal,Male,Health and beauty,50.3,9,11.2005,235.2105,2019-03-15,15:36:00,Cash,224.01,4.761904762,11.2005,7
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,51.3,5,23.5325,494.1825,2019-02-25,19:39:00,Credit card,470.65,4.761904762,23.5325,5
149-71-6266,B,Mandalay,Member,Male,Sports and travel,52.3,9,35.1315,737.7615,2019-01-28,12:43:00,Cash,702.63,4.761904762,35.1315,4
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,53.3,8,33.512,703.752,2019-01-10,14:49:00,Cash,670.24,4.761904762,33.512,5
595-11-5460,A,Yangon,Normal,Male,Health and beauty,54.3,2,9.658,202.818,2019-03-15,10:12:00,Credit card,193.16,4.761904762,9.658,5
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,55.3,4,19.884,417.564,2019-02-06,10:42:00,Ewallet,397.68,4.761904762,19.884,7
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,56.3,1,3.406,71.526,2019-01-07,12:28:00,Ewallet,68.12,4.761904762,3.406,7
129-29-8530,A,Yangon,Member,Male,Sports and travel,57.3,5,15.655,328.755,2019-03-10,19:15:00,Ewallet,313.1,4.761904762,15.655,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,58.3,9,27.396,575.316,2019-01-15,17:17:00,Ewallet,547.92,4.761904762,27.396,5
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,59.3,8,21.968,461.328,2019-03-23,13:24:00,Ewallet,439.36,4.761904762,21.968,7
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,60.3,8,12.048,253.008,2019-03-03,13:01:00,Cash,240.96,4.761904762,12.048,8
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,61.3,1,4.336,91.056,2019-01-17,18:45:00,Ewallet,86.72,4.761904762,4.336,8
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,62.3,2,5.611,117.831,2019-02-02,10:11:00,Cash,112.22,4.761904762,5.611,6
354-25-5821,B,Mandalay,Member,Female,Sports and travel,63.3,6,20.736,435.456,2019-02-08,13:03:00,Cash,414.72,4.761904762,20.736,5
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,64.3,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.6,4.761904762,39.48,7
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,65.3,2,1.537,32.277,2019-03-16,19:47:00,Cash,30.74,4.761904762,1.537,7
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,66.3,4,18.792,394.632,2019-03-09,18:00:00,Cash,375.84,4.761904762,18.792,9
370-41-7321,B,Mandalay,Member,Male,Health and beauty,67.3,9,25.5105,535.7205,2019-02-27,17:24:00,Credit card,510.21,4.761904762,25.5105,8
727-46-3608,B,Mandalay,Member,Female,Food and beverages,68.3,9,9.0045,189.0945,2019-02-06,15:47:00,Ewallet,180.09,4.761904762,9.0045,4
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,69.3,6,5.679,119.259,2019-02-10,12:45:00,Credit card,113.58,4.761904762,5.679,8
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,70.3,10,41.315,867.615,2019-03-19,17:08:00,Ewallet,826.3,4.761904762,41.315,8
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,71.3,7,31.99,671.79,2019-02-03,10:19:00,Cash,639.8,4.761904762,31.99,9
162-48-8011,A,Yangon,Member,Female,Food and beverages,72.3,5,11.1475,234.0975,2019-02-10,15:10:00,Cash,222.95,4.761904762,11.1475,8
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,73.3,4,3.574,75.054,2019-03-22,14:42:00,Ewallet,71.48,4.761904762,3.574,6
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,74.3,1,0.7715,16.2015,2019-01-25,15:46:00,Credit card,15.43,4.761904762,0.7715,6
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,75.3,2,1.616,33.936,2019-03-07,11:49:00,Ewallet,32.32,4.761904762,1.616,6
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,76.3,8,34.392,722.232,2019-02-28,19:01:00,Cash,687.84,4.761904762,34.392,8
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,77.3,2,4.434,93.114,2019-03-27,11:26:00,Cash,88.68,4.761904762,4.434,5
635-40-6220,A,Yangon,Normal,Male,Health and beauty,78.3,8,35.84,752.64,2019-02-07,11:28:00,Ewallet,716.8,4.761904762,35.84,6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,79.3,10,36.175,759.675,2019-01-20,15:55:00,Cash,723.5,4.761904762,36.175,5
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,80.3,6,9.183,192.843,2019-03-12,20:36:00,Cash,183.66,4.761904762,9.183,9
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,81.3,3,3.711,77.931,2019-02-15,17:47:00,Credit card,74.22,4.761904762,3.711,5
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,82.3,6,16.719,351.099,2019-02-24,10:55:00,Ewallet,334.38,4.761904762,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,83.3,9,24.7815,520.4115,2019-02-03,13:40:00,Ewallet,495.63,4.761904762,24.7815,8
199-75-8169,A,Yangon,Member,Male,Sports and travel,84.3,10,7.905,166.005,2019-03-06,12:27:00,Credit card,158.1,4.761904762,7.905,8
853-23-2453,B,Mandalay,Member,Male,Health and beauty,85.3,4,15.148,318.108,2019-02-14,14:35:00,Cash,302.96,4.761904762,15.148,6
877-22-3308,A,Yangon,Member,Male,Health and beauty,86.3,10,7.935,166.635,2019-03-13,16:40:00,Cash,158.7,4.761904762,7.935,5
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,87.3,2,3.347,70.287,2019-02-10,15:43:00,Ewallet,66.94,4.761904762,3.347,7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,88.3,6,29.283,614.943,2019-01-07,15:01:00,Ewallet,585.66,4.761904762,29.283,7
232-11-3025,A,Yangon,Normal,Male,Sports and travel,89.3,10,39.385,827.085,2019-01-24,10:04:00,Cash,787.7,4.761904762,39.385,9
382-03-4532,A,Yangon,Member,Female,Health and beauty,90.3,1,0.9165,19.2465,2019-02-02,18:50:00,Cash,18.33,4.761904762,0.9165,8
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,91.3,10,44.74,939.54,2019-01-06,12:46:00,Credit card,894.8,4.761904762,44.74,4
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,92.3,10,31.06,652.26,2019-02-11,16:19:00,Cash,621.2,4.761904762,31.06,8
510-95-6347,B,Mandalay,Member,Female,Food and beverages,93.3,3,7.278,152.838,2019-03-05,18:17:00,Ewallet,145.56,4.761904762,7.278,8
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,94.3,6,22.773,478.233,2019-03-09,18:21:00,Cash,455.46,4.761904762,22.773,9
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,95.3,9,33.6015,705.6315,2019-01-22,10:55:00,Ewallet,672.03,4.761904762,33.6015,8
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,96.3,10,20.825,437.325,2019-01-13,17:04:00,Credit card,416.5,4.761904762,20.825,6
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,97.3,9,22.068,463.428,2019-01-09,14:20:00,Credit card,441.36,4.761904762,22.068,6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,98.3,9,9.0045,189.0945,2019-01-12,15:48:00,Credit card,180.09,4.761904762,9.0045,5
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,99.3,10,39.155,822.255,2019-03-05,16:24:00,Ewallet,783.1,4.761904762,39.155,7
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,100.3,5,5.095,106.995,2019-01-22,18:56:00,Cash,101.9,4.761904762,5.095,8
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,101.3,6,29.757,624.897,2019-01-21,14:42:00,Credit card,595.14,4.761904762,29.757,8
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,102.3,3,14.502,304.542,2019-01-26,19:56:00,Ewallet,290.04,4.761904762,14.502,6
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,103.3,8,7.7,161.7,2019-01-23,18:37:00,Ewallet,154,4.761904762,7.7,5
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,104.3,4,16.072,337.512,2019-02-23,18:45:00,Credit card,321.44,4.761904762,16.072,7
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,105.3,5,12.2275,256.7775,2019-03-09,10:17:00,Cash,244.55,4.761904762,12.2275,7
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,106.3,7,29.071,610.491,2019-03-05,14:31:00,Ewallet,581.42,4.761904762,29.071,9
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,107.3,5,19.13,401.73,2019-03-25,10:23:00,Cash,382.6,4.761904762,19.13,8
633-44-8566,A,Yangon,Member,Male,Food and beverages,108.3,7,17.283,362.943,2019-03-27,20:35:00,Credit card,345.66,4.761904762,17.283,4
504-35-8843,A,Yangon,Normal,Male,Sports and travel,109.3,1,2.1235,44.5935,2019-01-02,16:57:00,Cash,42.47,4.761904762,2.1235,8
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,110.3,6,23.097,485.037,2019-02-27,17:55:00,Cash,461.94,4.761904762,23.097,8
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,111.3,4,9.476,198.996,2019-01-23,10:25:00,Cash,189.52,4.761904762,9.476,9
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,112.3,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,448.6,4.761904762,22.43,8
873-51-0671,A,Yangon,Member,Female,Sports and travel,113.3,7,7.693,161.553,2019-01-10,16:42:00,Ewallet,153.86,4.761904762,7.693,6
152-08-9985,B,Mandalay,Member,Male,Health and beauty,114.3,9,28.962,608.202,2019-03-12,12:09:00,Credit card,579.24,4.761904762,28.962,6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,115.3,1,4.4875,94.2375,2019-02-06,20:05:00,Credit card,89.75,4.761904762,4.4875,9
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,116.3,1,4.858,102.018,2019-03-08,20:38:00,Ewallet,97.16,4.761904762,4.858,9
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,117.3,10,43.935,922.635,2019-03-29,10:25:00,Ewallet,878.7,4.761904762,43.935,7
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,118.3,6,3.735,78.435,2019-02-09,13:11:00,Cash,74.7,4.761904762,3.735,8
865-92-6136,A,Yangon,Normal,Male,Food and beverages,119.3,3,7.9125,166.1625,2019-03-23,10:16:00,Ewallet,158.25,4.761904762,7.9125,5
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,120.3,6,24.81,521.01,2019-03-05,18:14:00,Cash,496.2,4.761904762,24.81,4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,121.3,1,2.4355,51.1455,2019-03-26,19:20:00,Cash,48.71,4.761904762,2.4355,5
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,122.3,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,706.95,4.761904762,35.3475,8
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,123.3,9,10.3815,218.0115,2019-02-01,11:27:00,Cash,207.63,4.761904762,10.3815,7
212-62-1842,A,Yangon,Normal,Male,Food and beverages,124.3,6,17.478,367.038,2019-03-28,16:44:00,Cash,349.56,4.761904762,17.478,5
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,125.3,7,10.6225,223.0725,2019-03-19,18:19:00,Cash,212.45,4.761904762,10.6225,4
704-48-3927,A,Yangon,Member,Male,Electronic accessories,126.3,10,44.335,931.035,2019-01-12,14:50:00,Ewallet,886.7,4.761904762,44.335,7
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,127.3,6,8.214,172.494,2019-01-05,20:54:00,Credit card,164.28,4.761904762,8.214,7
630-74-5166,A,Yangon,Normal,Male,Sports and travel,128.3,6,18.639,391.419,2019-03-22,20:19:00,Cash,372.78,4.761904762,18.639,8
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,129.3,9,15.291,321.111,2019-03-24,10:43:00,Cash,305.82,4.761904762,15.291,5
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,130.3,10,40.985,860.685,2019-03-03,14:30:00,Cash,819.7,4.761904762,40.985,4
479-26-8945,B,Mandalay,Member,Female,Sports and travel,131.3,2,1.649,34.629,2019-02-05,11:32:00,Ewallet,32.98,4.761904762,1.649,4
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,132.3,3,14.7315,309.3615,2019-02-05,10:41:00,Credit card,294.63,4.761904762,14.7315,7
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,133.3,7,25.494,535.374,2019-02-15,12:44:00,Cash,509.88,4.761904762,25.494,8
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,134.3,9,26.1315,548.7615,2019-01-19,20:07:00,Ewallet,522.63,4.761904762,26.1315,4
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,135.3,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,727.11,4.761904762,36.3555,5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,136.3,3,4.053,85.113,2019-03-02,13:01:00,Credit card,81.06,4.761904762,4.053,5
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,137.3,5,5.485,115.185,2019-03-05,12:29:00,Ewallet,109.7,4.761904762,5.485,4
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,138.3,1,2.568,53.928,2019-01-16,15:26:00,Ewallet,51.36,4.761904762,2.568,9
642-32-2990,A,Yangon,Normal,Female,Food and beverages,139.3,10,5.48,115.08,2019-02-02,20:48:00,Ewallet,109.6,4.761904762,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,140.3,2,5.344,112.224,2019-01-20,20:38:00,Ewallet,106.88,4.761904762,5.344,8
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,141.3,8,39.824,836.304,2019-02-14,17:03:00,Credit card,796.48,4.761904762,39.824,6
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,142.3,7,19.992,419.832,2019-01-12,12:02:00,Credit card,399.84,4.761904762,19.992,7
219-22-9386,B,Mandalay,Member,Male,Sports and travel,143.3,9,44.982,944.622,2019-03-09,17:26:00,Credit card,899.64,4.761904762,44.982,9
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,144.3,8,25.564,536.844,2019-03-13,19:52:00,Credit card,511.28,4.761904762,25.564,7
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,145.3,8,22.588,474.348,2019-03-09,14:57:00,Ewallet,451.76,4.761904762,22.588,5
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,146.3,7,32.7915,688.6215,2019-03-10,18:44:00,Credit card,655.83,4.761904762,32.7915,4
870-54-3162,A,Yangon,Normal,Female,Sports and travel,147.3,5,8.0625,169.3125,2019-01-27,13:26:00,Cash,161.25,4.761904762,8.0625,5
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,148.3,9,14.2785,299.8485,2019-01-08,16:17:00,Credit card,285.57,4.761904762,14.2785,5
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,149.3,8,27.416,575.736,2019-01-08,15:57:00,Ewallet,548.32,4.761904762,27.416,7
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,150.3,9,40.626,853.146,2019-02-08,11:15:00,Ewallet,812.52,4.761904762,40.626,7
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,151.3,7,13.867,291.207,2019-01-25,13:18:00,Cash,277.34,4.761904762,13.867,7
802-70-5316,A,Yangon,Member,Female,Sports and travel,152.3,6,27.639,580.419,2019-03-06,20:34:00,Cash,552.78,4.761904762,27.639,5
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,153.3,4,6.968,146.328,2019-02-10,18:36:00,Cash,139.36,4.761904762,6.968,7
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,154.3,6,26.235,550.935,2019-02-17,14:40:00,Credit card,524.7,4.761904762,26.235,8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,155.3,6,24.39,512.19,2019-03-08,16:43:00,Ewallet,487.8,4.761904762,24.39,8
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,156.3,3,13.533,284.193,2019-02-18,19:39:00,Cash,270.66,4.761904762,13.533,6
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,157.3,5,6.5775,138.1275,2019-01-18,20:59:00,Credit card,131.55,4.761904762,6.5775,5
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,158.3,6,10.326,216.846,2019-02-18,15:39:00,Cash,206.52,4.761904762,10.326,7
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,159.3,10,25.955,545.055,2019-02-16,12:21:00,Cash,519.1,4.761904762,25.955,7
575-30-8091,A,Yangon,Normal,Male,Sports and travel,160.3,8,29,609,2019-03-16,19:25:00,Ewallet,580,4.761904762,29,9
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,161.3,10,44.9,942.9,2019-01-23,13:00:00,Credit card,898,4.761904762,44.9,8
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,162.3,10,45.25,950.25,2019-01-25,13:48:00,Cash,905,4.761904762,45.25,4
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,163.3,10,34.3,720.3,2019-02-05,19:57:00,Cash,686,4.761904762,34.3,8
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,164.3,1,1.5205,31.9305,2019-02-22,10:36:00,Credit card,30.41,4.761904762,1.5205,8
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,165.3,6,23.385,491.085,2019-01-21,16:37:00,Ewallet,467.7,4.761904762,23.385,9
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,166.3,6,13.878,291.438,2019-03-08,17:11:00,Credit card,277.56,4.761904762,13.878,8
685-64-1609,A,Yangon,Member,Female,Fashion accessories,167.3,10,15.07,316.47,2019-02-10,12:28:00,Ewallet,301.4,4.761904762,15.07,6
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,168.3,4,13.228,277.788,2019-03-19,12:46:00,Credit card,264.56,4.761904762,13.228,6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,169.3,8,28.744,603.624,2019-03-06,15:07:00,Credit card,574.88,4.761904762,28.744,6
238-49-0436,A,Yangon,Normal,Male,Health and beauty,170.3,8,12.984,272.664,2019-03-27,13:48:00,Credit card,259.68,4.761904762,12.984,8
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,171.3,4,18.308,384.468,2019-03-23,19:20:00,Credit card,366.16,4.761904762,18.308,5
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,172.3,7,12.096,254.016,2019-03-11,16:07:00,Credit card,241.92,4.761904762,12.096,6
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,173.3,9,37.458,786.618,2019-01-29,11:56:00,Credit card,749.16,4.761904762,37.458,5
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,174.3,6,4.944,103.824,2019-02-07,18:23:00,Ewallet,98.88,4.761904762,4.944,9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,175.3,8,32.388,680.148,2019-01-28,13:05:00,Cash,647.76,4.761904762,32.388,5
782-95-9291,A,Yangon,Member,Male,Food and beverages,176.3,5,23.0725,484.5225,2019-02-20,15:55:00,Credit card,461.45,4.761904762,23.0725,7
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,177.3,1,3.6085,75.7785,2019-01-04,19:40:00,Cash,72.17,4.761904762,3.6085,8
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,178.3,5,12.57,263.97,2019-03-07,13:58:00,Ewallet,251.4,4.761904762,12.57,8
743-04-1105,B,Mandalay,Member,Male,Health and beauty,179.3,9,43.749,918.729,2019-03-30,14:43:00,Ewallet,874.98,4.761904762,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,180.3,6,28.017,588.357,2019-03-27,19:18:00,Ewallet,560.34,4.761904762,28.017,5
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,181.3,8,17.272,362.712,2019-01-19,19:39:00,Credit card,345.44,4.761904762,17.272,7
275-28-0149,A,Yangon,Normal,Male,Sports and travel,182.3,1,3.1845,66.8745,2019-02-25,16:21:00,Cash,63.69,4.761904762,3.1845,7
101-17-6199,A,Yangon,Normal,Male,Food and beverages,183.3,7,16.0265,336.5565,2019-03-13,19:44:00,Credit card,320.53,4.761904762,16.0265,9
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,184.3,2,7.64,160.44,2019-01-30,19:42:00,Ewallet,152.8,4.761904762,7.64,8
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,185.3,10,19.95,418.95,2019-02-20,15:24:00,Credit card,399,4.761904762,19.95,4
505-02-0892,B,Mandalay,Member,Male,Health and beauty,186.3,8,17.028,357.588,2019-02-25,14:12:00,Ewallet,340.56,4.761904762,17.028,8
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,187.3,10,47.79,1003.59,2019-01-16,13:32:00,Cash,955.8,4.761904762,47.79,8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,188.3,10,49.49,1039.29,2019-02-08,16:20:00,Credit card,989.8,4.761904762,49.49,9
796-32-9050,A,Yangon,Normal,Male,Food and beverages,189.3,6,15.384,323.064,2019-01-19,16:31:00,Cash,307.68,4.761904762,15.384,8
105-31-1824,A,Yangon,Member,Male,Sports and travel,190.3,7,24.332,510.972,2019-02-01,15:10:00,Credit card,486.64,4.761904762,24.332,6
249-42-3782,A,Yangon,Normal,Male,Health and beauty,191.3,5,17.5025,367.5525,2019-01-03,11:36:00,Ewallet,350.05,4.761904762,17.5025,6
316-55-4634,B,Mandalay,Member,Male,Food and beverages,192.3,5,20.0125,420.2625,2019-01-26,12:45:00,Credit card,400.25,4.761904762,20.0125,5
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,193.3,8,8.34,175.14,2019-03-03,19:17:00,Cash,166.8,4.761904762,8.34,7
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,194.3,6,15.867,333.207,2019-01-19,17:34:00,Credit card,317.34,4.761904762,15.867,8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,195.3,8,7.916,166.236,2019-01-18,12:04:00,Ewallet,158.32,4.761904762,7.916,8
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,196.3,9,15.228,319.788,2019-03-21,16:21:00,Ewallet,304.56,4.761904762,15.228,6
175-54-2529,A,Yangon,Member,Male,Food and beverages,197.3,8,8.868,186.228,2019-03-03,17:01:00,Credit card,177.36,4.761904762,8.868,5
